Distance	efficiency
0.1	0.0017
0.10092621909870476	0.0017
0.10186101701559758	0.0017
0.10280447320933092	0.0017
0.10375666787451857	0.0017
0.10471768194855202	0.0017
0.10568759711848043	0.0017
0.10666649582795393	0.0017
0.10765446128423153	0.0017
0.1086515774652538	0.0017
0.10965792912678099	0.0017
0.11067360180959737	0.0017
0.11169868184678232	0.0017
0.11273325637104868	0.0017
0.1137774133221491	0.0017
0.11483124145435111	0.0017
0.1158948303439811	0.0017
0.11696827039703853	0.0017
0.11805165285688052	0.0017
0.1191450698119776	0.0017
0.12024861420374122	0.0017
0.12136237983442408	0.0017
0.12248646137509314	0.0017
0.12362095437367689	0.0017
0.12476595526308698	0.0017
0.1259215613694151	0.0017
0.12708787092020585	0.0017
0.12826498305280606	0.0017
0.12945299782279157	0.0017
0.13065201621247213	0.0017
0.13186214013947484	0.0017
0.1330834724654075	0.0017
0.1343161170046016	0.0017
0.13556017853293686	0.0017
0.1368157627967472	0.0017
0.13808297652180923	0.0017
0.13936192742241424	0.0017
0.14065272421052372	0.0017
0.14195547660501012	0.0017
0.1432702953409831	0.0017
0.14459729217920195	0.0017
0.14593657991557565	0.0017
0.14728827239075026	0.0017
0.1486524844997857	0.0017
0.15002933220192183	0.0017
0.1514189325304352	0.0017
0.152821403602587	0.0017
0.15423686462966282	0.0017
0.15566543592710616	0.0017
0.15710723892474504	0.0017
0.1585623961771137	0.0017
0.1600310313738701	0.0017
0.16151326935030905	0.0017
0.16300923609797408	0.0017
0.16451905877536624	0.0017
0.166042865718753	0.0017
0.16758078645307678	0.0017
0.1691329517029648	0.0017
0.17069949340384075	0.0017
0.1722805447131394	0.0017
0.17387624002162508	0.0017
0.1754867149648151	0.0017
0.17711210643450878	0.0017
0.1787525525904235	0.0017
0.18040819287193827	0.0017
0.18207916800994628	0.0017
0.18376562003881713	0.0017
0.18546769230846985	0.0017
0.18718552949655787	0.0017
0.18891927762076663	0.0017
0.19066908405122523	0.0017
0.19243509752303312	0.0017
0.19421746814890253	0.0017
0.19601634743191856	0.0017
0.19783188827841644	0.0017
0.1996642450109794	0.0017
0.20151357338155576	0.0017
0.2033800305846981	0.0017
0.2052637752709252	0.0017
0.2071649675602069	0.0017
0.20908376905557505	0.0017
0.21102034285685956	0.0017
0.212974853574552	0.0017
0.21494746734379805	0.0017
0.21693835183851842	0.0017
0.2189476762856621	0.0017
0.22097561147959022	0.0017
0.22302232979659375	0.0017
0.22508800520954617	0.0017
0.2271728133026905	0.0017
0.22927693128656493	0.0017
0.2314005380130653	0.0017
0.23354381399064789	0.0017
0.23570694139967277	0.0017
0.23789010410788933	0.0017
0.24009348768606525	0.0017
0.24231727942375994	0.0017
0.2445616683452446	0.0017
0.24682684522556925	0.0017
0.24911300260677885	0.0017
0.2514203348142797	0.0017
0.253749037973357	0.0017
0.25609931002584585	0.0017
0.2584713507469564	0.0017
0.2608653617622548	0.0017
0.2632815465648021	0.0017
0.26572011053245054	0.0017
0.2681812609453015	0.0017
0.27066520700332414	0.0017
0.2731721598441376	0.0017
0.2757023325609584	0.0017
0.2782559402207124	0.0017
0.2808331998823172	0.0017
0.2834343306151309	0.0017
0.28605955351757417	0.0017
0.28870909173592363	0.0017
0.2913831704832787	0.0017
0.2940820170587063	0.0017
0.29680586086656024	0.0017
0.29955493343598133	0.0017
0.3023294684405778	0.0017
0.3051297017182869	0.0017
0.3079558712914226	0.0017
0.3108082173869064	0.0017
0.31368698245668775	0.0017
0.31659241119835224	0.0017
0.31952475057592117	0.0017
0.3224842498408441	0.0017
0.3254711605531848	0.0017
0.32848573660300445	0.0017
0.3315282342319425	0.0017
0.3345989120549973	0.0017
0.33769803108250906	0.0017
0.34082585474234517	0.0017
0.3439826489022925	0.0017
0.34716868189265615	0.0017
0.35038422452906737	0.0017
0.3536295501355042	0.0017
0.356904934567523	0.0017
0.3602106562357071	0.0017
0.36354699612933195	0.0017
0.3669142378402493	0.0017
0.3703126675869926	0.0017
0.3737425742391064	0.0017
0.3772042493416998	0.0017
0.3806979871402286	0.0017
0.384224084605506	0.0017
0.38778284145894565	0.0017
0.3913745601980384	0.0017
0.3949995461220644	0.0017
0.3986581073580441	0.0017
0.4023505548869292	0.0017
0.40607720257003654	0.0017
0.40983836717572614	0.0017
0.41363436840632745	0.0017
0.4174655289253137	0.0017
0.4213321743847288	0.0017
0.4252346334528682	0.0017
0.4291732378422157	0.0017
0.43314832233763995	0.0017
0.43716022482485045	0.0017
0.4412092863191189	0.0017
0.44529585099426555	0.0017
0.4494202662119142	0.0017
0.45358288255101875	0.0017
0.45778405383766185	0.0017
0.4620241371751312	0.0017
0.46630349297427315	0.0017
0.4706224849841282	0.0017
